scenario,method,mean_estimate,bias,empirical_sd,mean_standard_error,rmse,coverage,coverage_mc_se,rejection_rate,rejection_mc_se,type_i_error,power
aligned,standard_ancova,-0.36227399036981467,-0.012273990369814691,0.1489413449706457,0.15102819327282146,0.14929771610034717,0.96,0.008763560920082661,0.666,0.02109236828807993,,0.666
aligned,score_ancova,-0.36224431431548676,-0.012244314315486782,0.11403494490265673,0.11594610608183985,0.11457697829272025,0.938,0.010784804124322337,0.882,0.014427473791346842,,0.882
null,standard_ancova,-0.0141887705634573,-0.0141887705634573,0.1567696802777852,0.15042732233980036,0.1572542539939465,0.934,0.01110351295761841,0.066,0.011103512957618413,0.066,
null,score_ancova,-0.0012534540042445524,-0.0012534540042445524,0.12231324783520794,0.11548149913623175,0.1221973022686907,0.942,0.010453324829928518,0.058,0.010453324829928513,0.058,
shifted,standard_ancova,-0.3410725825585962,0.008927417441403795,0.11905847488064719,0.11552272216983388,0.11927392582705144,0.948,0.009929350431926557,0.83,0.016798809481626965,,0.83
shifted,score_ancova,-0.3404055756005819,0.0095944243994181,0.11909370941042942,0.11569187284919094,0.11936078911204334,0.946,0.010107818755794947,0.832,0.01671980861134481,,0.832
